popup_name	source	views	registration	conversion
Discovery - Fantasy #1	popup_name	7826.0	0.0	0.0
Learning Growing Influence	popup_name	602.0	0.0	0.0
Marketplace Marketing Directories	popup_name	196.0	0.0	0.0
Marketplace Marketing Charlie	popup_name	434.0	0.0	0.0
Marketplace Marketing Beta	popup_name	126.0	0.0	0.0
Marketplace Marketer 3 Photo	popup_name	595.0	0.0	0.0
Marketplace Marketer 2	popup_name	35.0	0.0	0.0
Learning International Pricing	popup_name	1015.0	0.0	0.0
Learning Libraries	popup_name	168.0	0.0	0.0
Marketplace Editor	popup_name	35.0	0.0	0.0
Discovery - Horror 2	popup_name	3108.0	0.0	0.0
