popup_version|start_date|popup_category	source	views	registration	conversion
"[""A"",""2019-12-13"",""generator""]"	popup_version|start_date|popup_category	42.0	0.0	0.0
"[""A"",""2019-12-13"",""Understanding Publishing""]"	popup_version|start_date|popup_category	3864.0	0.0	0.0
"[""A"",""2019-12-13"",""Book Design""]"	popup_version|start_date|popup_category	672.0	0.0	0.0
"[""A"",""2019-11-28"",""""]"	popup_version|start_date|popup_category	35.0	0.0	0.0
"[""A"",""2019-11-26"",""""]"	popup_version|start_date|popup_category	42.0	0.0	0.0
"[""A"",""2019-11-18"",""Book Marketing""]"	popup_version|start_date|popup_category	56.0	0.0	0.0
"[""A"",""2019-11-11"",""discovery""]"	popup_version|start_date|popup_category	742.0	0.0	0.0
"["""","""",""Book Marketing, Understanding Publishing""]"	popup_version|start_date|popup_category	182.0	0.0	0.0
"[""B"",""2020-02-28"",""From our Authors, Understanding Publishing""]"	popup_version|start_date|popup_category	182.0	0.0	0.0
"[""B"",""2020-02-28"",""Perfecting your Craft""]"	popup_version|start_date|popup_category	21.0	0.0	0.0
"[""B"",""2020-02-28"",""discovery""]"	popup_version|start_date|popup_category	756.0	0.0	0.0
"[""A"",""2019-11-12"",""""]"	popup_version|start_date|popup_category	56.0	0.0	0.0
"[""B"",""2020-06-12"",""Book Marketing, Perfecting your Craft""]"	popup_version|start_date|popup_category	742.0	0.0	0.0
"[""B"",""2020-02-29"",""Understanding Publishing""]"	popup_version|start_date|popup_category	273.0	0.0	0.0
"[""B"",""2020-02-29"",""discovery""]"	popup_version|start_date|popup_category	7259.0	0.0	0.0
"[""B"",""2020-06-12"",""Book Marketing, From our Authors""]"	popup_version|start_date|popup_category	21.0	0.0	0.0
"[""B"",""2020-03-31"",""Book Marketing""]"	popup_version|start_date|popup_category	161.0	0.0	0.0
"[""A"",""2019-06-28"",""discovery""]"	popup_version|start_date|popup_category	6412.0	0.0	0.0
"["""",""2020-05-27"",""From our Authors, Perfecting your Craft, Understanding Publishing""]"	popup_version|start_date|popup_category	434.0	0.0	0.0
"[""A"",""2018-11-14"",""Perfecting your Craft""]"	popup_version|start_date|popup_category	35.0	0.0	0.0
"["""",""2020-05-27"",""Book Design""]"	popup_version|start_date|popup_category	413.0	0.0	0.0
"[""A"","""",""discovery""]"	popup_version|start_date|popup_category	35.0	0.0	0.0
"[""B"",""2020-06-02"",""Understanding Publishing""]"	popup_version|start_date|popup_category	56.0	0.0	0.0
"[""A"","""",""Perfecting your Craft""]"	popup_version|start_date|popup_category	602.0	0.0	0.0
"[""B"",""2020-05-08"",""""]"	popup_version|start_date|popup_category	42.0	0.0	0.0
"[""A"","""",""From our Authors""]"	popup_version|start_date|popup_category	35.0	0.0	0.0
"["""",""2019-10-23"",""""]"	popup_version|start_date|popup_category	56.0	0.0	0.0
"[""B"",""2020-05-13"",""Understanding Publishing""]"	popup_version|start_date|popup_category	105.0	0.0	0.0
"[""B"",""2020-05-14"",""""]"	popup_version|start_date|popup_category	21.0	0.0	0.0
"[""B"",""2020-05-14"",""Perfecting your Craft, Understanding Publishing""]"	popup_version|start_date|popup_category	91.0	0.0	0.0
"["""","""",""Book Marketing""]"	popup_version|start_date|popup_category	1379.0	0.0	0.0
"["""","""",""Book Design, bookly News""]"	popup_version|start_date|popup_category	217.0	0.0	0.0
"[""B"",""2020-05-22"",""Understanding Publishing""]"	popup_version|start_date|popup_category	35.0	0.0	0.0
"["""","""",""Book Design, Understanding Publishing""]"	popup_version|start_date|popup_category	56.0	0.0	0.0
"[""B"",""2020-05-25"",""Understanding Publishing""]"	popup_version|start_date|popup_category	294.0	0.0	0.0
"["""","""",""Book Design, Perfecting your Craft, Understanding Publishing""]"	popup_version|start_date|popup_category	21.0	0.0	0.0
"[""B"",""2020-05-29"",""Understanding Publishing""]"	popup_version|start_date|popup_category	546.0	0.0	0.0
"[""B"",""2020-05-27"",""""]"	popup_version|start_date|popup_category	21.0	0.0	0.0
"[""B"",""2020-05-29"",""Book Marketing""]"	popup_version|start_date|popup_category	35.0	0.0	0.0
"[""A"",""2018-06-28"",""discovery""]"	popup_version|start_date|popup_category	3738.0	0.0	0.0
"[""A"",""2018-12-31"",""""]"	popup_version|start_date|popup_category	21.0	0.0	0.0
"[""B"",""2020-03-31"",""discovery""]"	popup_version|start_date|popup_category	21.0	0.0	0.0
"[""A"",""2019-03-19"",""discovery""]"	popup_version|start_date|popup_category	35.0	0.0	0.0
"[""B"",""2020-04-01"",""Understanding Publishing""]"	popup_version|start_date|popup_category	70.0	0.0	0.0
"[""B"",""2020-06-10"",""Understanding Publishing""]"	popup_version|start_date|popup_category	42.0	0.0	0.0
